gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold67:hit:261548	6.16	15.81	12.32	18.78	17.25	19.5	21.2	52.08	31.5
scaffold668:hit:342833	0	0	0	0.9	0	0.17	0.34	0	0.3
scaffold666:hit:342749	519.74	694.61	532.59	436.01	483.92	454.42	563.16	417.34	563.26
scaffold66:hit:260497	3.41	2.8	2.64	3.72	4.36	2.19	1.51	3.44	2.79
scaffold66:hit:260480	0	0	0	0	0	0	0	0	0
scaffold65:hit:259903	20.46	21.35	23.16	24.7	24.01	25.93	24.5	31.04	28.83
scaffold65:hit:259813	0.18	0	0	0	0	0	0.39	0	0
scaffold65:hit:259807	0.14	0.09	0.14	0.1	0	0.26	0.23	0.16	0.47
scaffold65:hit:259806	0.08	0	0	0.12	0	0.09	0	0.09	0.08
scaffold65:hit:259804	0	0.67	0	0.76	1.88	0.29	2.02	7.47	1.28
scaffold65:hit:259719	31.24	33.37	22.37	27.4	41.34	24.57	24.19	39.6	25.4
scaffold65:hit:259712	0	0.21	0	0	0	0.09	0	0.19	0.49
scaffold65:hit:259705	0	0.19	0.15	0.22	0.18	0.08	0.34	0.17	0
scaffold65:hit:259696	3.06	3.69	6.57	5.25	12.44	7.24	4.71	6.13	6.41
scaffold645:hit:342638	0	0	0	0	0	0	0	0	0
scaffold642:hit:342596	0	0	0	0	0	0	0	0	0
scaffold64:hit:258338	0	0.03	0	0.03	0.03	0	0	0.06	0
scaffold64:hit:258293	0.8	1.02	3.04	2.94	6.27	2.24	1.79	2.62	2.75
scaffold64:hit:258042	1.71	2.44	2.3	2.97	2.9	2.8	2.28	2.91	3.41
scaffold634:hit:342545	0	0	0	0	0	0	0	0	0
scaffold63:hit:256402	4.59	12.01	4.12	0	0	0	0	4.8	0
scaffold63:hit:256399	49	45.72	41.18	63.44	59.64	49.23	45.37	59.58	57.61
scaffold63:hit:256339	8.47	8.62	7.78	14.78	14.28	9.01	10.02	16.09	13.75
scaffold63:hit:256293	43.23	45.18	41.79	57.7	51.64	45.54	46.7	67.13	44.49
scaffold63:hit:256291	27.72	27.48	27.86	32.78	37.4	36.07	30.93	32.75	34.18
scaffold63:hit:256289	5.95	4.49	4.88	10.42	7.87	7.27	6.8	6.53	6.75
scaffold63:hit:256214	5.51	3.5	2.6	6.76	6.08	5.94	5.64	6.97	3.15
scaffold63:hit:256205	1149.7	1051.42	858.58	691.23	872.19	845.34	945.86	744.48	907.27
scaffold63:hit:256204	19.66	10.63	12.26	22.15	16.38	17.85	23.32	17.52	21.23
scaffold624:hit:342450	0	0	0	0	0	0	0	0	0
scaffold62_2:hit:255712	0	0	0	0	0	0	0	0	0
scaffold62_2:hit:255707	0	1.93	0	9.39	22.38	0.9	17.55	14.39	7.53
scaffold62_1:hit:254905	0.14	0.17	0	0	0.48	0.11	0.36	0.75	0.32
scaffold61:hit:254358	0	0	0	0	0	0	0	0	0
scaffold61:hit:254356	0	0	0	0	0	0	0	0	0
scaffold61:hit:254152	0	0	0	0	0	0	0	0	0.57
scaffold61:hit:254095	0	0	0	0	0	0	0	0	0
scaffold61:hit:254002	0	0	0	0	0	0	0	0	0
scaffold603:hit:342207	0	0.09	0	0	0	0	0.37	0.08	0.07
scaffold600:hit:342168	0	0	0	0.22	0	0	0	0	0
scaffold600:hit:342167	0	0	0	0	0	0	0	0	0
scaffold600:hit:342166	0	0	0	0	0	0	0	0	0
scaffold60_2:hit:252004	0	0	0	0	0	0	0	0	0
scaffold60_2:hit:251983	0	0	0	0	0	0	0	0	0
scaffold60_1:hit:251392	0	0.11	0	0	0	0.06	0	0	0
scaffold60_1:hit:251311	0	0	0	0	0	0	0	0	0
scaffold60_1:hit:251307	0	0.19	0.29	0	0	0.48	0	0.82	0.29
scaffold60_1:hit:251292	1.04	0	1.2	0	0	0.28	0	0	0
scaffold60_1:hit:251223	0	0	0	0	0	0	0	0	0
scaffold60_1:hit:251172	0.77	1.32	1.59	1.97	3.46	2.11	1.79	1.26	1.71
scaffold60_1:hit:251165	0	0	0	0	0	0	0	0	0
scaffold60_1:hit:251163	1.3	1.63	1.78	1.58	4.83	0.8	0.81	1.62	0.54
scaffold60_1:hit:251160	16.81	23.83	10.98	21.22	9.58	18.47	17.62	12.32	20.93
scaffold60_1:hit:251108	0	0	0	0	0	0	0	0	0
